eventtype,tick,timestamp,taskid,object,value,src
traceTASK_SWITCHED_IN,1806,1806000,Cycle,0x0,0,TASK
EVT_QUEUE_SEND,1806,1806000,Cycle,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,1806,1806000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,1806,1806000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,1806,1806000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,1806,1806000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,1806,1806000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,1806,1806000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,1806,1806000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,1806,1806000,Cycle,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,1806,1806000,Cycle,0x0,2106,TASK
traceTASK_SWITCHED_OUT,1806,1806000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,1806,1806000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2000,2000000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2000,2000000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,2000,2000000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2000,2000000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2000,2000000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2000,2000000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2000,2000000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,2000,2000000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2000,2000000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2000,2000000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2000,2000000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2000,2000000,Bus,0x0,2200,TASK
traceTASK_SWITCHED_OUT,2000,2000000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2000,2000000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2106,2106000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2106,2106000,Cycle,0x0,0,TASK
EVT_QUEUE_SEND,2106,2106000,Cycle,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2106,2106000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,2106,2106000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2106,2106000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2106,2106000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,2106,2106000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2106,2106000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2106,2106000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2106,2106000,Cycle,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2106,2106000,Cycle,0x0,2406,TASK
